年份,海水池塘产量,面积,生产力,淡水池塘产量,面积,生产力
2003,1123705,265513,4.23220332,12515093,2398740,5.217361198
2004,1206032,294119,4.100489938,13312418,2429479,5.479536147
2005,1259134,298534,4.217723944,14099666,2495361,5.650351192
2006,1503097,307844,4.8826581,14945131,2531048,5.904720495
2007,1458659,329336.5,4.429083931,14769801.5,2337881.5,6.317600571
2008,1414221,350829,4.031083519,14594472,2144715,6.804853792
2009,1852906,416383,4.450003963,15488542,2331900,6.642026674
2010,1978317,413838,4.780414075,16477168,2377001,6.931914627
2011,1957561,405396,4.828762494,17435044,2449911,7.116603011
2012,2127020,437630,4.860315792,18664241,2566859,7.271237337
2013,2281213,463638,4.920245968,19887462,2623176,7.581444021
2014,2295836,456923,5.024557748,20902594,2661901,7.85250616
2015,2350782,455029,5.16622457,21956885,2701222,8.12850073
2016,2296196,401339,5.721337822,20964868,2447068,8.567341815
2017,2665160,400033,6.662350356,21222191,2527781,8.395581342
2018,2466523,400163,6.163795753,22109687,2666835,8.29060928
2019,2503495,376091,6.656620339,22300543,2644726,8.432080677
2020,2573803,411484,6.254928503,22797585,2625404,8.68345786
2021,2810602,425522,6.605068598,23507883,2604629,9.025424734
